         117336475 function calls (112314412 primitive calls) in 611.955 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
10755/7948    1.280    0.000  760.819    0.096 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\queue.py:180(get)
      330    0.014    0.000  629.956    1.909 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydev_bundle\fsnotify\__init__.py:164(_check)
1316/1315    0.095    0.000  491.060    0.373 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\logging\__init__.py:1512(info)
     2965    0.069    0.000  401.410    0.135 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_net_command.py:107(send)
65054/64593    5.975    0.000  344.917    0.005 {built-in method nt.scandir}
     5930    0.411    0.000  341.254    0.058 {method 'sendall' of '_socket.socket' objects}
     1325    0.121    0.000  335.569    0.253 g:\GitHub\PyKotor\.venv_3.13\Lib\site-packages\loggerplus\__init__.py:636(_log)
     1326    0.042    0.000  298.089    0.225 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\concurrent\futures\_base.py:646(__exit__)
67279/8034    2.076    0.000  295.636    0.037 {method 'emit' of 'PyQt5.QtCore.pyqtBoundSignal' objects}
     2362    0.005    0.000  294.424    0.125 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\data\installation.py:157(_get_cached_or_load)
        1    0.000    0.000  292.372  292.372 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\widgets\main_widgets.py:368(on_resource_double_clicked)
        1    0.000    0.000  292.348  292.348 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\windows\main.py:631(on_open_resources)
        3    0.000    0.000  280.448   93.483 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\data\installation.py:279(_streamwaves)
1327/1326    0.073    0.000  272.437    0.205 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydev_bundle\pydev_monkey.py:1104(__call__)
1327/1326    3.893    0.003  271.595    0.205 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\threading.py:1000(_bootstrap)
1327/1326    0.080    0.000  267.486    0.202 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\threading.py:1027(_bootstrap_inner)
     3972    0.069    0.000  263.877    0.066 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\logging\__init__.py:1011(handle)
     1326    0.154    0.000  251.157    0.189 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\threading.py:983(run)
     1325    0.042    0.000  250.959    0.189 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\concurrent\futures\thread.py:70(_worker)
     1325    0.014    0.000  250.810    0.189 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\concurrent\futures\thread.py:54(run)
     1325    0.033    0.000  249.231    0.188 g:\GitHub\PyKotor\.venv_3.13\Lib\site-packages\loggerplus\__init__.py:649(logging_task)
     1325    0.033    0.000  248.075    0.187 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\logging\__init__.py:1643(_log)
