         1800609 function calls (1650000 primitive calls) in 9.563 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   150/94    0.006    0.000   15.916    0.169 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\queue.py:180(get)
        4    0.000    0.000    5.466    1.366 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\concurrent\futures\_base.py:646(__exit__)
      5/4    0.001    0.000    5.442    1.361 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydev_bundle\pydev_monkey.py:1104(__call__)
      5/4    0.000    0.000    5.441    1.360 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\threading.py:1000(_bootstrap)
      5/4    0.000    0.000    5.440    1.360 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\threading.py:1027(_bootstrap_inner)
        1    0.000    0.000    5.437    5.437 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\concurrent\futures\process.py:837(shutdown)
        1    0.000    0.000    5.435    5.435 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\concurrent\futures\process.py:330(run)
        1    0.000    0.000    5.435    5.435 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\concurrent\futures\process.py:549(join_executor_internals)
        1    0.000    0.000    4.774    4.774 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\multiprocessing\queues.py:145(join_thread)
        2    0.000    0.000    4.774    2.387 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\multiprocessing\util.py:197(__call__)
        1    0.000    0.000    4.774    4.774 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\multiprocessing\queues.py:212(_finalize_join)
        4    0.001    0.000    4.762    1.191 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\concurrent\futures\process.py:405(wait_result_broken_or_wakeup)
   212/92    0.023    0.000    3.850    0.042 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\threading.py:327(wait)
       10    0.000    0.000    1.627    0.163 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydev_bundle\fsnotify\__init__.py:164(_check)
  1835/10    0.182    0.000    1.266    0.127 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydev_bundle\fsnotify\__init__.py:115(_check_dir)
     2145    0.034    0.000    1.251    0.001 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\pydevd.py:828(accept_directory)
    14050    0.057    0.000    1.217    0.000 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_filtering.py:60(glob_matches_path)
161625/14050    0.376    0.000    1.116    0.000 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_filtering.py:28(_check_matches)
        1    0.000    0.000    0.661    0.661 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\concurrent\futures\process.py:553(_join_executor_internals)
    45450    0.059    0.000    0.401    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\fnmatch.py:19(fnmatch)
        6    0.351    0.059    0.352    0.059 {built-in method show}
    90908    0.125    0.000    0.272    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\ntpath.py:50(normcase)
        1    0.000    0.000    0.269    0.269 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\windows\main.py:188(__init__)
   161625    0.122    0.000    0.265    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\glob.py:233(has_magic)
        1    0.015    0.015    0.257    0.257 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\windows\main.py:244(_initUi)
        1    0.003    0.003    0.242    0.242 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\uic\qtpy\windows\main.py:15(setupUi)
        4    0.213    0.053    0.222    0.056 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\widgets\main_widgets.py:93(__init__)
   161641    0.113    0.000    0.113    0.000 {method 'search' of 're.Pattern' objects}
     1830    0.087    0.000    0.087    0.000 {built-in method nt.scandir}
    86618    0.076    0.000    0.076    0.000 {built-in method _winapi.LCMapStringEx}
    45450    0.037    0.000    0.070    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\fnmatch.py:64(fnmatchcase)
   323250    0.067    0.000    0.067    0.000 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\pydevd_file_utils.py:342(normcase)
        9    0.000    0.000    0.060    0.007 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\multiprocessing\connection.py:1044(wait)
        9    0.000    0.000    0.060    0.007 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\multiprocessing\connection.py:1010(_exhaustive_wait)
       10    0.060    0.006    0.060    0.006 {built-in method _winapi.WaitForMultipleObjects}
       42    0.053    0.001    0.053    0.001 {built-in method time.sleep}
   114738    0.052    0.000    0.052    0.000 {method 'replace' of 'str' objects}
   251014    0.047    0.000    0.047    0.000 {built-in method builtins.isinstance}
        2    0.000    0.000    0.034    0.017 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\concurrent\futures\process.py:749(_adjust_process_count)
        2    0.000    0.000    0.033    0.016 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\concurrent\futures\process.py:772(_spawn_process)
        2    0.000    0.000    0.033    0.016 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\multiprocessing\process.py:110(start)
        2    0.000    0.000    0.033    0.016 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\multiprocessing\context.py:334(_Popen)
    45454    0.033    0.000    0.033    0.000 {method 'match' of 're.Pattern' objects}
    28112    0.025    0.000    0.025    0.000 {method 'split' of 'str' objects}
        2    0.000    0.000    0.022    0.011 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\multiprocessing\popen_spawn_win32.py:46(__init__)
        2    0.000    0.000    0.021    0.010 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydev_bundle\pydev_monkey.py:901(new_CreateProcess)
        2    0.021    0.010    0.021    0.010 {built-in method _winapi.CreateProcess}
    43940    0.020    0.000    0.020    0.000 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\pydevd.py:853(accept_file)
    46085    0.019    0.000    0.019    0.000 {method 'is_dir' of 'nt.DirEntry' objects}
     14/8    0.000    0.000    0.017    0.002 <frozen importlib._bootstrap>:1349(_find_and_load)
    91007    0.017    0.000    0.017    0.000 {built-in method nt.fspath}
     14/8    0.000    0.000    0.016    0.002 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
57750/57744    0.013    0.000    0.013    0.000 {built-in method builtins.len}
        2    0.000    0.000    0.013    0.006 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\concurrent\futures\process.py:783(submit)
        3    0.000    0.000    0.011    0.004 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\logging\__init__.py:1512(info)
       14    0.000    0.000    0.010    0.001 <frozen importlib._bootstrap>:1240(_find_spec)
       14    0.000    0.000    0.009    0.001 <frozen importlib._bootstrap_external>:1551(find_spec)
        1    0.001    0.001    0.008    0.008 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\windows\main.py:285(_setup_signals)
        3    0.000    0.000    0.008    0.003 g:\GitHub\PyKotor\.venv_3.13\Lib\site-packages\loggerplus\__init__.py:636(_log)
       50    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1624(find_spec)
        1    0.000    0.000    0.007    0.007 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\widgets\main_widgets.py:523(__init__)
   882/37    7.162    0.008    0.006    0.000 {method 'acquire' of '_thread.lock' objects}
       14    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1522(_get_spec)
        5    0.006    0.001    0.006    0.001 {built-in method addTab}
     11/9    0.000    0.000    0.006    0.001 <frozen importlib._bootstrap>:911(_load_unlocked)
    29/15    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
        4    0.001    0.000    0.006    0.001 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\uic\qtpy\widgets\resource_list.py:17(setupUi)
     10/8    0.000    0.000    0.006    0.001 <frozen importlib._bootstrap_external>:1020(exec_module)
        3    0.000    0.000    0.005    0.002 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_comm.py:217(_read_line)
        1    0.005    0.005    0.005    0.005 {method 'recv' of '_socket.socket' objects}
       45    0.002    0.000    0.005    0.000 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\pydevd.py:1768(process_internal_commands)
        4    0.000    0.000    0.005    0.001 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\threading.py:983(run)
        3    0.000    0.000    0.005    0.002 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\concurrent\futures\thread.py:220(shutdown)
        3    0.000    0.000    0.005    0.002 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\concurrent\futures\thread.py:70(_worker)
        3    0.000    0.000    0.004    0.001 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\concurrent\futures\thread.py:54(run)
        3    0.000    0.000    0.004    0.001 g:\GitHub\PyKotor\.venv_3.13\Lib\site-packages\loggerplus\__init__.py:649(logging_task)
        3    0.000    0.000    0.004    0.001 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\logging\__init__.py:1643(_log)
      5/3    0.000    0.000    0.004    0.001 {built-in method builtins.__import__}
        6    0.004    0.001    0.004    0.001 {connectSlotsByName}
       61    0.003    0.000    0.004    0.000 g:\GitHub\PyKotor\.venv_3.13\Lib\site-packages\qtpy\_utils.py:105(add_action)
      259    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:101(_path_join)
       10    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1093(get_code)
        1    0.000    0.000    0.003    0.003 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\common\style\theme_manager.py:46(get_available_themes)
     1395    0.003    0.000    0.003    0.000 {method 'stat' of 'nt.DirEntry' objects}
